ranking,university
1,Harvard University
2,University of Oxford
3,Stanford University
4,Johns Hopkins University
5,University of Cambridge
6,University of California San Francisco (UCSF)
7,Imperial College London
8,UCL
9,Karolinska Institute
10,Yale University
11,Massachusetts Institute of Technology (MIT)
12,University of California Los Angeles (UCLA)
13,University of Pennsylvania
14,University of Toronto
15,King's College London
16,Duke University
17,Columbia University
18,National University of Singapore (NUS)
19,University of Michigan-Ann Arbor
20,The University of Edinburgh
21,London School of Hygiene & Tropical Medicine
22,University of California San Diego (UCSD)
23,University of Washington
24,The University of Hong Kong
25,The Chinese University of Hong Kong (CUHK)
26,The University of Melbourne
27,The University of Sydney
28,McGill University
29,Peking University
30,University of California Berkeley (UCB)
